1,4.04,"Wine - White, Ej",pede morbi,1
2,10.09,Filo Dough,eu,2
3,16.08,Taro Root,pede lobortis,3
4,4.84,Brandy Apricot,odio,4
5,7.76,Breakfast Quesadillas,ridiculus,5
6,11.78,"Corn - Cream, Canned",sollicitudin vitae,6
7,13.65,Pork Loin Bine - In Frenched,felis sed,7
8,16.63,"Beef - Tongue, Cooked",curae,8
9,8.91,Soup - Campbells Pasta Fagioli,donec quis,9
10,4.65,Steam Pan - Half Size Deep,quam sollicitudin,10
11,9.17,Quail - Jumbo,id,11
12,2.06,"Pail - 15l White, With Handle",curabitur,12
13,11.65,Silicone Paper 16.5x24,diam in,13
14,15.11,Yoghurt Tubes,tempus sit,14
15,3.18,Filling - Mince Meat,quis,15
16,14.33,"Crab - Dungeness, Whole, live",maecenas rhoncus,16
17,7.02,Coffee - Hazelnut Cream,habitasse platea,17
18,10.55,"Pasta - Penne, Rigate, Dry",risus semper,18
19,5.93,Vinegar - White Wine,pretium iaculis,19
20,11.95,Carroway Seed,pretium,20
21,9.02,Wine - Carmenere Casillero Del,morbi,21
22,14.07,Puree - Blackcurrant,eu nibh,22
23,4.0,Bread - Multigrain Oval,enim,23
24,6.49,Hersey Shakes,venenatis,24
25,6.1,Appetizer - Veg Assortment,ornare consequat,25
26,4.68,Raspberries - Fresh,nibh in,26
27,13.84,Container - Clear 16 Oz,auctor gravida,27
28,9.28,Sauce - Marinara,ut nulla,28
29,5.45,Island Oasis - Magarita Mix,duis ac,29
30,3.66,Pernod,duis,30
31,4.59,Sauce - Rosee,neque aenean,31
32,11.8,"Tart Shells - Savory, 2",sed,32
33,14.16,"Mushroom - Trumpet, Dry",nulla,33
34,11.43,Seabream Whole Farmed,curae donec,34
35,6.89,Wine - Chianti Classica Docg,in tempor,35
36,3.42,Foil - 4oz Custard Cup,suscipit,36
37,11.41,Apples - Sliced / Wedge,blandit nam,37
38,13.43,Kohlrabi,consectetuer eget,38
39,9.17,Grand Marnier,orci,39
40,7.37,Foam Dinner Plate,quis libero,40
41,6.4,Plasticforkblack,proin eu,41
42,8.46,Creme De Cacao Mcguines,orci,42
43,8.89,Petite Baguette,ante ipsum,43
44,7.02,Pork - Kidney,volutpat,44
45,11.72,"Peas - Pigeon, Dry",nunc,45
46,3.24,Spring Roll Wrappers,justo,46
47,8.87,Cheese - Brie,platea dictumst,47
48,7.23,"Salmon - Atlantic, No Skin",luctus,48
49,2.55,Syrup - Monin - Passion Fruit,nulla elit,49
50,12.68,Artichoke - Fresh,ullamcorper,50
51,11.64,Carbonated Water - Blackcherry,nunc vestibulum,51
52,2.51,Wine - Black Tower Qr,arcu libero,52
53,6.13,Veal - Liver,aliquam lacus,53
54,17.06,Longos - Chicken Curried,erat tortor,54
55,13.71,"Halibut - Whole, Fresh",amet lobortis,55
56,11.73,Appetizer - Seafood Assortment,quis augue,56
57,3.02,Compound - Pear,leo,57
58,12.89,Chocolate - Milk Coating,suspendisse,58
59,3.28,Wine - Carmenere Casillero Del,eu sapien,59
60,17.83,Seabream Whole Farmed,erat fermentum,60
61,10.75,Taro Leaves,magna vulputate,61
62,14.95,Pear - Asian,quam,62
63,2.12,Pop - Club Soda Can,tempor turpis,63
64,8.48,Cheese Cloth,ipsum,64
65,7.69,Scotch - Queen Anne,odio porttitor,65
66,13.67,Chicken - Livers,morbi ut,66
67,17.52,Ice Cream Bar - Oreo Sandwich,id massa,67
68,16.87,Oil - Cooking Spray,quisque,68
69,15.26,"Bar Mix - Pina Colada, 355 Ml",rutrum neque,69
70,4.23,Plaintain,aliquet at,70
71,14.6,Cheese - Valancey,pede ullamcorper,71
72,10.8,Pastry - Cheese Baked Scones,odio porttitor,72
73,4.33,Hot Choc Vending,leo odio,73
74,12.88,Broom - Push,eros viverra,74
75,4.08,Chevere Logs,interdum mauris,75
76,4.5,"Rum - Dark, Bacardi, Black",posuere,76
77,15.28,"Oil - Olive, Extra Virgin",tincidunt,77
78,3.82,Oven Mitt - 13 Inch,tortor quis,78
79,8.38,"Corn - Cream, Canned",pede,79
80,6.81,Muffin Mix - Corn Harvest,libero nam,80
81,13.39,"Cheese - Woolwich Goat, Log",quis augue,81
82,15.74,Thermometer Digital,id luctus,82
83,10.15,Shopper Bag - S - 4,nibh in,83
84,13.4,Water - Evian 355 Ml,venenatis,84
85,13.93,Rabbit - Frozen,rhoncus,85
86,2.11,"Oregano - Dry, Rubbed",sagittis,86
87,8.1,Pizza Pizza Dough,nibh,87
88,8.15,Napkin - Beverage 1 Ply,integer aliquet,88
89,6.11,"Corn - Cream, Canned",maecenas tincidunt,89
90,4.66,Blue Curacao - Marie Brizard,lectus pellentesque,90
91,5.88,Cinnamon Rolls,suscipit nulla,91
92,12.14,Bacardi Raspberry,morbi,92
93,8.55,Spring Roll Wrappers,lobortis vel,93
94,13.8,Lid Coffeecup 12oz D9542b,amet nulla,94
95,15.64,Tomatoes - Roma,in,95
96,4.24,Cheese - Taleggio D.o.p.,nulla,96
97,11.07,Irish Cream - Butterscotch,tortor,97
98,15.26,Wine - Fino Tio Pepe Gonzalez,massa,98
99,16.85,Radish,duis,99
100,13.83,"Nut - Pecan, Pieces",in,100
101,5.83,Saskatoon Berries - Frozen,porta volutpat,101
102,17.98,Pork - Backs - Boneless,curabitur,102
103,8.9,Cookies - Englishbay Oatmeal,turpis elementum,103
104,16.48,Quail - Jumbo Boneless,in,104
105,5.92,Cream - 10%,varius,105
106,12.68,Beans - Green,odio odio,106
107,2.63,"Syrup - Golden, Lyles",ante ipsum,107
108,7.08,Juice - V8 Splash,consectetuer eget,108
109,16.33,Chocolate Eclairs,fermentum,109
110,2.99,Broccoli - Fresh,ipsum,110
111,14.38,Celery,justo,111
112,15.4,"Cheese - Cheddar, Medium",turpis,112
113,6.18,"Extract - Vanilla,artificial",pellentesque,113
114,14.83,"Syrup - Golden, Lyles",ante vivamus,114
115,10.76,Cinnamon Buns Sticky,ut blandit,115
116,3.33,"Carrots - Mini, Stem On",bibendum imperdiet,116
117,4.01,Lettuce - Lolla Rosa,turpis enim,117
118,4.94,Grapefruit - Pink,condimentum curabitur,118
119,3.27,Ice Cream - Super Sandwich,mus,119
120,4.17,Melon - Honey Dew,ut erat,120
121,14.39,Cattail Hearts,habitasse,121
122,15.69,Red Cod Fillets - 225g,accumsan,122
123,8.05,Wine - Chablis 2003 Champs,a,123
124,13.32,Beans - Fava Fresh,justo eu,124
125,13.8,Table Cloth 72x144 White,sollicitudin,125
126,8.86,Ice Cream - Vanilla,libero,126
127,8.06,Huck White Towels,varius ut,127
128,17.02,Venison - Ground,lacus curabitur,128
129,2.77,Veal - Bones,vel accumsan,129
130,14.55,Carroway Seed,porttitor,130
131,5.83,Beef - Shank,nulla,131
132,15.82,Plate Pie Foil,morbi,132
133,14.2,Beef - Short Loin,primis in,133
134,3.71,Miso - Soy Bean Paste,etiam,134
135,13.9,"Pasta - Lasagna Noodle, Frozen",viverra,135
136,13.91,Venison - Liver,velit donec,136
137,4.31,Icecream Cone - Areo Chocolate,lacinia,137
138,12.57,Bread - Hamburger Buns,etiam,138
139,2.21,Wine - Rubyport,neque sapien,139
140,4.81,Yogurt - Assorted Pack,lectus,140
141,16.29,"Soup - Cream Of Broccoli, Dry",vivamus,141
142,7.24,Pineapple - Golden,tristique in,142
143,15.2,"Jam - Strawberry, 20 Ml Jar",curae nulla,143
144,4.8,Cheese - Provolone,id turpis,144
145,2.46,Cookie - Oatmeal,curae,145
146,4.07,Cheese - Montery Jack,justo,146
147,4.52,Raspberries - Frozen,suspendisse,147
148,10.18,Corn Shoots,at ipsum,148
149,5.9,Cup - 8oz Coffee Perforated,elementum,149
150,6.95,Mushroom - Portebello,elit,150
151,4.02,White Fish - Filets,at,151
152,6.76,Sprouts - Onion,interdum,152
153,3.4,Papayas,nunc,153
154,8.94,"Fish - Base, Bouillion",pulvinar nulla,154
155,11.72,Broccoli - Fresh,tempus vel,155
156,8.7,Coffee - Hazelnut Cream,est,156
157,13.17,Pastry - Apple Muffins - Mini,eros viverra,157
158,3.8,Frangelico,neque,158
159,2.08,Galliano,nisi venenatis,159
160,16.71,Chocolate - Sugar Free Semi Choc,nunc,160
161,14.52,"Ecolab - Orange Frc, Cleaner",posuere cubilia,161
162,6.5,Smirnoff Green Apple Twist,porttitor lacus,162
163,10.84,"Chicken - Base, Ultimate",pretium,163
164,4.73,Cookies - Amaretto,ac leo,164
165,14.38,Pears - Bosc,congue,165
166,8.53,"Pineapple - Canned, Rings",congue,166
167,12.73,Soup - Base Broth Beef,quam,167
168,13.88,Beef Ground Medium,consequat nulla,168
169,9.36,"Nut - Peanut, Roasted",massa,169
170,12.91,Sprouts - Corn,eget rutrum,170
171,7.08,Jolt Cola,curabitur convallis,171
172,7.76,"Coffee - Colombian, Portioned",et,172
173,3.16,Bread - White Mini Epi,morbi,173
174,13.69,"Chocolate - Pistoles, White",urna pretium,174
175,13.05,"Oranges - Navel, 72",ultrices,175
176,8.6,"Split Peas - Green, Dry",metus,176
177,10.73,Oil - Safflower,sociis natoque,177
178,10.8,Cookie - Dough Variety,lobortis convallis,178
179,5.7,Lettuce - Arugula,a,179
180,16.81,"Tart Shells - Savory, 4",venenatis tristique,180
181,14.67,Salt - Table,mauris,181
182,12.63,Myers Planters Punch,lectus,182
183,14.16,Ocean Spray - Kiwi Strawberry,nunc,183
184,10.85,Quail - Jumbo,massa,184
185,5.23,Vanilla Beans,dictumst,185
186,5.3,Soup - Campbells Mushroom,viverra eget,186
187,11.31,"Pork - Sausage, Medium",lobortis,187
188,16.7,Quiche Assorted,convallis,188
189,12.23,"Beer - Alexander Kieths, Pale Ale",phasellus id,189
190,17.16,Cheese - Cheddarsliced,eu interdum,190
191,15.31,"Yogurt - Cherry, 175 Gr",praesent blandit,191
192,10.41,"Arctic Char - Fresh, Whole",purus aliquet,192
193,13.33,Cheese - Swiss,magnis,193
194,12.16,"Mushrooms - Black, Dried",tristique,194
195,17.27,Ham - Cooked Bayonne Tinned,cubilia curae,195
196,9.36,Foie Gras,luctus et,196
197,7.58,Bread - Burger,id,197
198,8.72,Veal - Liver,odio,198
199,4.91,Oil - Olive Bertolli,condimentum,199
200,9.18,Sugar - Palm,ligula,200
201,4.25,Langers - Mango Nectar,luctus nec,201
202,12.78,Wine - Port Late Bottled Vintage,bibendum,202
203,2.26,Chives - Fresh,ut odio,203
204,6.85,Ecolab Digiclean Mild Fm,ligula,204
205,7.69,Cheese - Brie,duis,205
206,14.45,Cranberries - Frozen,pellentesque,206
207,7.4,Salad Dressing,tristique est,207
208,11.44,"Yogurt - Blueberry, 175 Gr",mus etiam,208
209,4.54,Sauce - Thousand Island,rhoncus dui,209
210,8.8,Lambcasing,quisque,210
211,11.91,Nantuket Peach Orange,malesuada,211
212,17.52,Chocolate - Feathers,ut dolor,212
213,6.04,Sauce - Hp,orci,213
